program,year,last_name,full_name,first_name,affiliation_QID,subprogram,multi.year_award,fellowship.title
Clark,2024,Alberti,"Alberti, Francesca",Francesca,Q337494,NA,NA,NA
Clark,2024,Anagnost,"Anagnost, Adrian",Adrian,Q1193547,NA,NA,NA
Clark,2024,Baldasarre,"Baldasarre, María",María Isabel,Q5733950,NA,NA,NA
Clark,2024,Beleza-Barreiros,"Beleza-Barreiros, Inês",Inês,Q1979891,NA,NA,NA
Clark,2024,Boone,"Boone, Emilie",Emilie,Q49210,NA,NA,NA
Clark,2024,Bosc-Tiessé,"Bosc-Tiessé, Claire",Claire,Q280413,NA,NA,NA
Clark,2024,Bost,"Bost, Darius",Darius,Q955764,NA,NA,NA
Clark,2024,Gosine,"Gosine, Andil",Andil,Q849751,NA,NA,NA
Clark,2024,Greene,"Greene, Nikki A.",Nikki A.,Q49205,NA,NA,NA
Clark,2024,Abdul Malak,"Abdul Malak, Rima",Rima,Q90,NA,NA,NA
Clark,2024,Matar,"Matar, Roula",Roula,Q1050988,NA,NA,NA
Clark,2024,Holmquist Pachas,"Holmquist Pachas, Ulla",Ulla,Q200601,NA,NA,NA
Clark,2024,Del Valle Schorske,"Del Valle Schorske, Carina",Carina,Q18419,NA,NA,NA
Clark,2024,Scott,"Scott, David",David,Q49088,NA,NA,NA
Clark,2024,Trusted,"Trusted, Marjorie (Holly)",Marjorie (Holly),Q192775,NA,NA,NA
Clark,2024,Tymkiv,"Tymkiv, Svitlana",Svitlana,Q131281229,NA,NA,NA
Clark,2023,Simões,"Simões, Igor",Igor,Q10387820,NA,NA,NA
Clark,2023,Bogel,"Bogel, Cynthea J.",Cynthea J.,Q1188786,NA,NA,NA
Clark,2023,Foa,"Foa, Michelle",Michelle,Q1193547,NA,NA,NA
Clark,2023,Ringelberg,"Ringelberg, Kirsten",Kirsten,Q4568893,NA,NA,NA
Clark,2023,Benites,"Benites, Sandra",Sandra,Q10286372,NA,NA,NA
Clark,2023,Yusaf,"Yusaf, Shundana",Shundana,Q168515,NA,NA,NA
Clark,2023,Shtromberg,"Shtromberg, Elena",Elena,Q168515,NA,NA,NA
Clark,2023,Ekman,"Ekman, Anita",Anita,Q174,NA,NA,NA
Clark,2023,Del Árbol,"Del Árbol, Marta Ruiz",Marta Ruiz,Q176251,NA,NA,NA
Clark,2023,Balaram,"Balaram, Rakhee",Rakhee,Q1780816,NA,NA,NA
Clark,2023,Doherty,"Doherty, Brigid",Brigid,Q21578,NA,NA,NA
Clark,2023,Escobar,"Escobar, Jesús  R.",Jesús,Q309350,NA,NA,NA
Clark,2023,Hudson,"Hudson, Suzanne",Suzanne,Q4614,NA,NA,NA
Clark,2023,Howley,"Howley, Kathryn",Kathryn,Q49210,NA,NA,NA
Clark,2023,Meredith,"Meredith, Hallie G.",Hallie G.,Q597236,NA,NA,NA
Clark,2023,Flucker,"Flucker, Turry M.",Turry M.,Q6603941,NA,NA,NA
Clark,2023,James,"James, Erica Moiah",Erica Moiah,Q738258,NA,NA,NA
Clark,2023,Oliver,"Oliver, Keisha",Keisha,Q74432603,NA,NA,NA
Clark,2023,Han,"Han, Sora",Sora,Q868421,NA,NA,NA
Clark,2022,Hamill,"Hamill, Sarah",Sarah,Q1051840,NA,NA,NA
Clark,2022,Graves,"Graves, Margaret S.",Margaret S.,Q1079140,NA,NA,NA
Clark,2022,Lozère,"Lozère, Christelle",Christelle,Q16682075,NA,NA,NA
Clark,2022,Paravisini-Gebert,"Paravisini-Gebert, Lizabeth",Lizabeth,Q2093794,NA,NA,NA
Clark,2022,Rose,"Rose, Sam",Sam,Q216273,NA,NA,NA
Clark,2022,Bonfait,"Bonfait, Olivier",Olivier,Q287072,NA,NA,NA
Clark,2022,Flatley,"Flatley, Jonathan",Jonathan,Q349055,NA,NA,NA
Clark,2022,Koering,"Koering, Jérémie",Jérémie,Q36188,NA,NA,NA
Clark,2022,Ioannidis,"Ioannidis, Konstantinos",Konstantinos,Q414014,NA,NA,NA
Clark,2022,Makonnen,"Makonnen, Tsedaye",Tsedaye,Q61,NA,NA,NA
Clark,2022,Donette,"Donette, Francis",Francis,Q738258,NA,NA,NA
Clark,2022,Touma,"Touma, Josephine",Josephine,Q741082,NA,NA,NA
Clark,2022,Smith,"Smith, Shawn Michelle",Shawn Michelle,Q7432601,NA,NA,NA
Clark,2022,Lähnemann,"Lähnemann, Ingmar",Ingmar,Q80195096,NA,NA,NA
Clark,2022,Melius,"Melius, Jeremy",Jeremy,Q84,NA,NA,NA
Clark,2022,Dubois,"Dubois, Vashti",Vashti,Q96742105,NA,NA,NA
Clark,2021,Engmann,"Engmann, Rachel Ama Asaa",Rachel Ama Asaa,Q1082964,NA,NA,NA
Clark,2021,Sichel,"Sichel, Jennifer",Jennifer,Q1317143,NA,NA,NA
Clark,2021,Hahn,"Hahn, Cynthia",Cynthia,Q1446181,NA,NA,NA
Clark,2021,Freund,"Freund, Amy",Amy,Q1536258,NA,NA,NA
Clark,2021,Conduru,"Conduru, Roberto",Roberto,Q1536258,NA,NA,NA
Clark,2021,Fajardo-Hill,"Fajardo-Hill, Cecilia",Cecilia,Q174710,NA,NA,NA
Clark,2021,Lazevnik,"Lazevnik, Ashley",Ashley,Q1785291,NA,NA,NA
Clark,2021,Doherty,"Doherty, Brigid",Brigid,Q21578,NA,NA,NA
Clark,2021,Small,"Small, Irene V.",Irene V.,Q21578,NA,NA,NA
Clark,2021,Davis,"Davis, Julie Nelson",Julie Nelson,Q49117,NA,NA,NA
Clark,2021,Peers,"Peers, Glenn",Glenn,Q617433,NA,NA,NA
Clark,2021,Lee,"Lee, Lisa",Lisa,Q621043,NA,NA,NA
Clark,2021,Dackerman,"Dackerman, Susan",Susan,Q65,NA,NA,NA
Clark,2021,Oliver,"Oliver, Keisha",Keisha,Q74432603,NA,NA,NA
Clark,2021,Nelson,"Nelson, Jennifer",Jennifer,Q838330,NA,NA,NA
Clark,2021,Schindler,"Schindler, Robert",Robert,Q865736,NA,NA,NA
Clark,2021,Tani,"Tani, Ellen",Ellen,Q87195168,NA,NA,NA
Clark,2021,Payne,"Payne, Edward",Edward,Q924265,NA,NA,NA
Clark,2020,Vaughn,"Vaughn, Jessica",Jessica,Q1345,NA,NA,NA
Clark,2020,Doherty,"Doherty, Brigid",Brigid,Q21578,NA,NA,NA
Clark,2020,Kee,"Kee, Joan",Joan,Q230492,NA,NA,NA
Clark,2020,Harris,"Harris, Julie",Julie,Q2896792,NA,NA,NA
Clark,2020,Hyde,"Hyde, Timothy",Timothy,Q49108,NA,NA,NA
Clark,2020,Weddle,"Weddle, Saundra",Saundra,Q5309401,NA,NA,NA
Clark,2020,Burrus,"Burrus, Virginia",Virginia,Q617433,NA,NA,NA
Clark,2020,Lee,"Lee, Lisa",Lisa,Q621043,NA,NA,NA
Clark,2019,Suda,"Suda, Alexandra",Alexandra,Q1068063,NA,NA,NA
Clark,2019,Horton,"Horton, Jessica L.",Jessica,Q1068072,NA,NA,NA
Clark,2019,Cohen,"Cohen, Kris",Kris,Q1140775,NA,NA,NA
Clark,2019,Bajorek,"Bajorek, Jennifer",Jennifer,Q1706859,NA,NA,NA
Clark,2019,Penner,"Penner, Barbara",Barbara,Q193196,NA,NA,NA
Clark,2019,Poddar,"Poddar, Neeraja",Neeraja,Q129099831,NA,NA,NA
Clark,2019,Cordez,"Cordez, Philippe",Philippe,Q253771,NA,NA,NA
Clark,2019,Scheid,"Scheid, Kirsten",Kirsten,Q469482,NA,NA,NA
Clark,2019,Bonin,"Bonin, Christianna",Christianna,Q49108,NA,NA,NA
Clark,2019,Clarke,"Clarke, Christa",Christa,Q49199,NA,NA,NA
Clark,2019,Sidlauskas,"Sidlauskas, Susan",Susan,Q499451,NA,NA,NA
Clark,2019,Ramond,"Ramond, Sylvie",Sylvie,Q511,NA,NA,NA
Clark,2019,Olalquiaga,"Olalquiaga, Celeste",Celeste,Q60,NA,NA,NA
Clark,2019,Childs,"Childs, Adrienne L.",Adrienne,Q61,NA,NA,NA
Clark,2019,Gagliardi,"Gagliardi, Susan Elizabeth",Susan,Q621043,NA,NA,NA
Clark,2019,Pagliano,"Pagliano, Eric",Eric,Q670250,NA,NA,NA
Clark,2019,Ellis,"Ellis, Lisa",Lisa,Q670250,NA,NA,NA
