program,year,last_name,first_name,affiliation_QID,subprogram,multi.year_award,fellowship.title
Clark,2024,Alberti,Francesca,Q337494,,NA,
Clark,2024,Anagnost,Adrian,Q1193547,,NA,
Clark,2024,Baldasarre,María Isabel,Q5733950,,NA,
Clark,2024,Beleza-Barreiros,Inês,Q1979891,,NA,
Clark,2024,Boone,Emilie,Q49210,,NA,
Clark,2024,Bosc-Tiessé,Claire,Q280413,,NA,
Clark,2024,Bost,Darius,Q955764,,NA,
Clark,2024,Gosine,Andil,Q849751,,NA,
Clark,2024,Greene,Nikki A.,Q49205,,NA,
Clark,2024,Abdul Malak,Rima,Q90,,NA,
Clark,2024,Matar,Roula,Q1050988,,NA,
Clark,2024,Holmquist Pachas,Ulla,Q200601,,NA,
Clark,2024,Del Valle Schorske,Carina,Q18419,,NA,
Clark,2024,Scott,David,Q49088,,NA,
Clark,2024,Trusted,Marjorie (Holly),Q192775,,NA,
Clark,2024,Tymkiv,Svitlana,Q131281229,,NA,
Clark,2023,Simões,Igor,Q10387820,,NA,
Clark,2023,Bogel,Cynthea J.,Q1188786,,NA,
Clark,2023,Foa,Michelle,Q1193547,,NA,
Clark,2023,Ringelberg,Kirsten,Q4568893,,NA,
Clark,2023,Benites,Sandra,Q10286372,,NA,
Clark,2023,Yusaf,Shundana,Q168515,,NA,
Clark,2023,Shtromberg,Elena,Q168515,,NA,
Clark,2023,Ekman,Anita,Q174,,NA,
Clark,2023,Del Árbol,Marta Ruiz,Q176251,,NA,
Clark,2023,Balaram,Rakhee,Q1780816,,NA,
Clark,2023,Doherty,Brigid,Q21578,,NA,
Clark,2023,Escobar,Jesús,Q309350,,NA,
Clark,2023,Hudson,Suzanne,Q4614,,NA,
Clark,2023,Howley,Kathryn,Q49210,,NA,
Clark,2023,Meredith,Hallie G.,Q597236,,NA,
Clark,2023,Flucker,Turry M.,Q6603941,,NA,
Clark,2023,James,Erica Moiah,Q738258,,NA,
Clark,2023,Oliver,Keisha,Q74432603,,NA,
